Название призмы,Сущности GOP,Комментарий,Соответствие,Отсутсивие,,,,
1. Призма эмоций,—,"GOP не моделирует эмоции игрока, это уровень опыта.",0,Игрок,,Нет соотвествия: ,,51
2. Призма существенного опыта,—,"Опыт игрока как категория не отражён в GOP, там описываются структурные элементы игры.",0,Игрок,,Частничное соотвествие:,,25
3. Призма места действия,Interface,Место действия в том числе определяет интерфейс игры. Однако совпадение не полное. ,1,"Игрок, Платформа",,Полное соотвествие:,,37
4. Призма сюрприза,Randomness; Incomplete Information,Сюрприз обеспечивается случайностью и скрытой информацией. Однако призма в том числе говорит и о сюрпризах в эстетике и истории игры.,1,"Игрок, Эстетика, История",,Недостающие сущность в GOP,,
5. Призма фана,—,"«Фан» — эвристическая категория; в GOP нет сущностей, напрямую описывающих удовольствие игрока.",0,Игрок,,Игрок:,30,
6. Призма любопытства,Game Goals; Optional Goals;,Любопытство игрока стимулируется через скрытые или дополнительные цели.,1,Игрок,,Дизайнер:,20,
7. Призма эндогенной ценности,Game Goals; To Manage Resources; Score; Economies of scale; Economies of scope; To Own,"Внутренняя ценность формируется через систему ресурсов, очков и экономических эффектов, которые подробно выделены в GOP. При этом сами ресурсы выделены через возможность владеть (To Own)",2,,,Разработка:,12,
8. Призма решения проблемы,Puzzle; Goals,Решение задач — это головоломки и целеполагание; обе категории явно присутствуют в GOP.,2,,,Персонажи:,11,
9. Призма элементной тетрады,Rules; Narrative Segmentation; Interface,"«Механики–история–эстетика–технология» Шелла пересекаются с разными ветвями GOP: правила, нарративные сегменты, интерфейс. Это частичное соответствие.",1,"Платформа, История, Эстетика, Дизайнер",,История:,9,
10. Призма голографического дизайна,—,"«Голографический дизайн» — метафора целостности восприятия игры; GOP фиксирует отдельные сущности, но не оперирует концептом целостности. ",0,Дизайнер,,Эстетика:,6,
11. Призма единства,—,"В GOP нет категории, описывающей «тематическое единство» игры. Онтология фиксирует структурные элементы, а не гармонию их совокупности.",0,Тема,,"Игровые 
объекты:",3,
12. Призма резонанса,—,"Резонанс — это эмоционально-эстетическая категория (отклик, долговременное впечатление). В GOP отсутствует.",0,"Дизайнер, Игрок",,Бизнес:,3,
13. Призма бесконечного вдохновения,—,"Эта линза обращена к источникам идей вне игры; GOP описывает только то, что внутри игровой системы.",0,Дизайнер,,Платформа:,3,
14. Призма постановки проблемы,—,"Это линза связана с ""дизайн-проблемой"" которую решает дизайнер, но при этом дизайнер и процесс дизайна не являются частью GOP. ",0,"Тема, Дизайнер",,Коммуникация:,3,
15. Призма восьми фильтров,—,"Линза про проверку качества дизайна (рыночные, технические, социальные фильтры). GOP не содержит подобных категорий.",0,Разработка,,Тема:,2,
16. Призма оптимизации рисков,—,"GOP описывает правила и состояния, но не имеет понятия «риск» как фактора разработки или восприятия.",0,Разработка,,,,
17. Призма игрушки,No Game End,"Игровая «игрушечность» связана с отсутствием фиксированного конца игры и возможность с ней просто ""играться""",2,,,,,
18. Призма страсти,—,"Призма про отношение дизайнера к игре. В GOP нет аналогов, так как онтология фокусируется на игре, а не на разработчике.",0,Дизайнер,,,,
19. Призма игрока,— ,Игрок не представлен как часть GOP,0,Игрок,,,,
20. Призма удовольствия,—,Удовольствие — категория опыта игрока. В GOP отсутствует как сущность.,0,Игрок,,,,
21. Призма потока,Goals; Challenge Segmentation; Difficulty Levels; Dynamic Difficulty Adjustment,"Поток достигается балансом целей, челленджей и уровня сложности. В GOP это фиксируется через цели и правила сложности.",1,Игрок,,,,
22. Призма потребностей,—,Линза отсылает к иерархии Маслоу и базовым человеческим нуждам. В GOP нет концепта человеческих потребностей.,0,Игрок,,,,
23. Призма мотивации,—,"Мотивации игрока — психологический уровень, отсутствующий в GOP. Онтология фиксирует только механические цели и ресурсы.",0,Игрок,,,,
24. Призма инноваций,—,Новизна как креативная категория не формализована в GOP.,0,Игрок,,,,
25. Призма оценки,Score; Evaluation of Ending; Goal Metrics,"GOP имеет сущности, связанные с оценкой (очки, результаты, оценка окончания игры). Это совпадает с линзой оценки.",2,,,,,
26. Призма функционального пространства,Cardinality of Gameplay; Spatial Segmentation,"В GOP пространство описывается формально: измерения, сегментация, топология. Это прямо соответствует линзе пространства.",2,,,,,
27. Призма времени,Time; Time Indicator; Game Ends; Segmentation of Gameplay,"Временные структуры отражены в GOP через индикаторы времени, временные окончания игр и сегментацию.",2,,,,,
28. Призма механизма состояний,Rules; Entity Manipulation,"GOP не фиксирует игровые объкты, их состояния и переменные. Это частичное соотвествие .",1,Игровые объекты,,,,
29. Призма секретов,Incomplete Information; Complete Information,"Секреты в игре есть не что иное, как неполная или скрытая информация. Это отражено в GOP.",2,,,,,
30. Призма возникновения,Rules; Rules Synergies; Entity Manipulation,Эмерджентность отражается в GOP как синергия правил и возможность игрока манипулировать сущносятми. ,2,,,,,
31. Призма действий,Entity Manipulation; Compound Action; ,GOP напрямую описывает доступные действия игрока и способы манипуляции. Прямая связь.,2,,,,,
32. Призма целей,Goals; Optional Goals; Game Ends,Цели в GOP — центральная сущность: они определяют завершение игры и промежуточные задачи. Полное соответствие.,2,,,,,
33. Призма правил,Rules; Gameplay Rules; Player Manipulable Rules,Линза и GOP совпадают по базовой категории «правила».,2,,,,,
34. Призма навыков,Difficulty Levels; Entity Manipulation;,"GOP уровни сложности, а сам навык частично выражается в манипуляции сущностей. Но психологического уровня игрока (обучение, развитие) — нет.",1,Игрок,,,,
35. Призма ожидаемого значения,Randomness; Dominant Strategy; Incomplete Information,GOP фиксирует случайность и вероятностные исходы; ожидаемое значение можно вывести из этих узлов.,2,,,,,
36. Призма шанса,Randomness; Incomplete Information,"В GOP «шанс» закреплён как случайность/вероятностные исходы и скрытая информация. При этом опыт игрока, которого касается линза — не включен.",1,Игрок,,,,
37. Призма справедливости,Difficulty Levels; Dominant Strategy; Multiplayer; Goal Metrics; Dynamic Difficulty Adjustment,"В GOP справедливость выражается через доминирующие стратегии, метрики целей. Динамическая адлаптация сложности, чтобы разные игроки могли играть вместе. И косвенная связь с мультиплеером.",2,,,,,
38. Призма сложности,Challenge Segmentation; Difficulty Levels; Dynamic Difficulty Adjustment; Multiplayer,"Категория сложности представлена явно: через задачи, их сегментацию и уровни.",2,,,,,
39. Призма осмысленного выбора,Dominant Strategy; To Select;  ,В GOP прямо представлен выбор игрока и доминатная стратегия. Соответствие прямое.,2,,,,,
40. Призма треугольности,To Manage Resources; To Own;,В GOP нет явного понятия для описания этой линзы но структура «риск–награда» проявляется через управление ресурсами и владение.,1,Награда,,,,
