Сущности GOP,Присуствие,Комментарий
Interface,Присутствует,С игрой можно взаимодействовать.
Input,Присутствует,Управление реализовано через стандартные устройства ввода (геймпад/клавиатура).
Input Devices,Присутствует,"Используются стандартные кнопки управления (клавиши/геймпад), но не все подкатегории."
Analog Pushbutton,Отсутствует,В игре нет кнопок с аналоговой чувствительностью к силе нажатия.
Digital Pushbutton,Присутствует,"Все действия (прыжок, хватание, движение) основаны на цифровых кнопках — либо нажато, либо нет."
Direction Pad,Присутствует,Возможен ввод через клавиши направления (или D-pad на геймпаде).
Fourway Joystick,Присутствует,Возможен ввод через джойстик на геймпаде.
Lightgun,Отсутствует,Поддержка контроллера с наведением на экран в игре отсутствует.
Rotary Paddle Control,Отсутствует,Поддержка контроллера вращения в игре отсутствует.
Thruster (two-way) Joystick,Отсутствует,Поддержка такого вида джойстика отсутсвует.
Touch-Sensitive Screen,Присутствует,Присутсвует в мобильной версии игры
Stylus Pen,Отсутствует,"Нет ввода через стилус, хотя в теории он возможен на мобильных платформах."
Microphone,Отсутствует,Голосовое управление не используется.
Input Method,Присутствует,В INSIDE определён способ ввода — через ограниченный набор кнопок/клавиш.
Locus of Manipulation,Присутствует,"Игрок управляет аватаром (мальчиком), и всё взаимодействие с миром идёт через него."
Multiple Entity Manipulation,Отсутствует,"В игре есть моменты, в которых мы можем управлять сразу несколькими сущносятми опосредованно через игрового аватара. В GOP к этой сущности относят скорее RTS стратегии, так что она скорее отсутсвует в INSIDE."
Single Entity Manipulation,Присутствует,Управление сосредоточено исключительно на одном персонаже.
Manipulation Method,Присутствует,В игре есть конкретный метод манипуляции через кнопки/стики.
Direct Manipulation,Присутствует,"Управление напрямую связано с действиями персонажа: нажал кнопку — персонаж прыгнул, толкнул объект."
Indirect Manipulation,Отсутствует,"Нет меню или системы команд, управление только прямое. Кроме момента с непрямым контролем манекенов, что опять-же неоднозначно можно отнести к непрямому контролю."
Entity Programming Interface,Отсутствует,Игрок не программирует поведение персонажей или объектов.
Menu Interface,Отсутствует,Игра практически лишена интерфейсов-меню (только старт/настройки вне геймплея).
Point and Click Interface,Отсутствует,Нет системы указателя или кликов мышью для взаимодействия.
Synchronized Button Press,Отсутствует,"Нет механик, где требуется нажатие кнопок в ритме или последовательности."
Presentation,Присутствует,Вся игра строится на аудиовизуальной презентации.
Presentation Hardware,Присутствует,Используется стандартное оборудование (монитор/динамики/геймпад).
Audio Display Hardware,Присутствует,Музыка и звуковые эффекты — важная часть атмосферы и геймплея.
Haptic Display,Присутствует,Специальная вибро- или тактильная отдача присутствует при игре с геймпадом.
Closed Cycle Haptics,Отсутствует,Нет поддержки устройств с тактильной коммуникацией (от игрока к игре).
Open Cycle Haptics,Присутствует,Специальная вибро- или тактильная отдача присутствует при игре с геймпадом.
Visual Display Hardware,Присутствует,"Основной канал восприятия — графика, подаваемая через монитор."
Video Monitor,Присутствует,"INSIDE играется через экран, который служит основным устройством вывода."
VR Goggles,Отсутствует,Игра не поддерживает VR-режимы.
Presentation Software,Присутствует,Код игры управляет выводом графики и звука
Feedback,Присутствует,"Игрок постоянно получает обратную связь (звук шагов, визуальные эффекты, реакции окружения)."
Confirmation,Присутствует,"Подтверждающая обратная связь: например, если мальчик хватает объект, это сопровождается анимацией и звуком."
Warning,Присутствует,"Есть сигналы опасности (свет прожекторов, лай собак, звуковые сирены)."
Point Of View,Присутствует,"Игра задаёт специфическую точку зрения: камера сбоку, фиксированная."
First-person Point of View,Отсутствует,Нет перспективы «из глаз персонажа».
