,,Призмы,Пересечение сущностей из INSIDE и GOP,Сущности из GOP,Релевантность по онтологическому анализу,Релевантность по прямому анализу,Комментарий,"Оценка соотвествия 
релевантности "
,,1. Призма эмоций,,—,Нерелевантна,,,
,,2. Призма существенного опыта,,—,Нерелевантна,,,
,,3. Призма места действия,Interface,Interface,Релевантна,Релевантна,"Игра Inside формирует достаточно сильный эмоциональный опыт, который был бы невозможен в публичном пространстве (например на аркадных автоматах). В силу этого призма видится уместной, она критикует Inside, и игра выдерживает эту критику.",Соответствует
,,4. Призма сюрприза,,Randomness; Incomplete Information,Нерелевантна,Релевантна,"Призма сюрприза однозначно релевантна Inside, ведь игра содержит множество сюжетных сюрпризов, однако согласно методологии не считается релевантной. Это происходит в силу того, что в GOP нету сущностей связанных с историей, поэтому сюрприз согласно анализу связан только с неполной информацией и случайностью, которые не представлены в Inside. ",Не соотвествует 
,,5. Призма фана,,—,Нерелевантна,,,
,,6. Призма любопытства,"Game Goals,Optional Goals",Game Goals; Optional Goals;,Релевантна,Релевантна,"Призма любопытства полностью релевантна игре и игра реализует призму за счет недостатка информации о мире игры, который вызывает любопытство.",Соответствует
,,7. Призма эндогенной ценности,Game Goals,Game Goals; To Manage Resources; Score; Economies of scale; Economies of scope; To Own,Релевантна,Релевантна,"Призма релевантна Inside, кроме того, игра не выдерживает ее критики. В Inside нету предметов, которые формировали бы ценность для игрока. А значит призма могла бы улучшить улучшить дизайн игры.",Соответствует
,,8. Призма решения проблемы,"Puzzle,Goals",Puzzle; Goals,Релевантна,Релевантна,"Призма релевантна Inside, и игра выдерживает ее критику. Геймплей формирует множество проблем (паззлов), которые необходимо решать.",Соответствует
,,9. Призма элементной тетрады,"Rules,Narrative Segmentation,Interface",Rules; Narrative Segmentation; Interface,Релевантна,Релевантна,Призма элементарной тетрады релевантна игре. В игре реализованы все элементы из тетрады.,Соответствует
,,10. Призма голографического дизайна,,—,Нерелевантна,,,
,,11. Призма единства,,—,Нерелевантна,,,
,,12. Призма резонанса,,—,Нерелевантна,,,
,,13. Призма бесконечного вдохновения,,—,Нерелевантна,,,
,,14. Призма постановки проблемы,,—,Нерелевантна,,,
,,15. Призма восьми фильтров,,—,Нерелевантна,,,
,,16. Призма оптимизации рисков,,—,Нерелевантна,,,
,,17. Призма игрушки,,No Game End,Нерелевантна,Нерелевантна,"Призма игрушки нерелевантна Inside. Игра не стремится сформировать песочницу, в которой можно было бы просто ""играться"", как это делают игры из жанра песочниц.",Соответствует
,,18. Призма страсти,,—,Нерелевантна,,,
,,19. Призма игрока,,— ,Нерелевантна,,,
,,20. Призма удовольствия,,—,Нерелевантна,,,
,,21. Призма потока,"Goals,Challenge Segmentation",Goals; Challenge Segmentation; Difficulty Levels; Dynamic Difficulty Adjustment,Релевантна,Релевантна,"Призма потока релевантна игре, и она выдерживает ее критику.",Соответствует
,,22. Призма потребностей,,—,Нерелевантна,,,
,,23. Призма мотивации,,—,Нерелевантна,,,
,,24. Призма инноваций,,—,Нерелевантна,,,
